frame,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14
165,0.000000,0.000059,0.000095,0.005776,0.934717,0.006319,0.000002,0.000234,0.000034,0.000033,0.000086,0.000267,0.000413,0.000178,0.000026
166,0.000000,0.000071,0.000081,0.005928,0.932391,0.004994,0.000001,0.000214,0.000031,0.000029,0.000063,0.000204,0.000377,0.000163,0.000024
167,0.000000,0.000069,0.000090,0.005468,0.940063,0.005048,0.000002,0.000200,0.000034,0.000035,0.000079,0.000235,0.000398,0.000173,0.000027
168,0.000000,0.000058,0.000132,0.004362,0.937920,0.005901,0.000002,0.000238,0.000032,0.000036,0.000099,0.000288,0.000376,0.000191,0.000031
169,0.000000,0.000072,0.000080,0.005764,0.942412,0.004419,0.000002,0.000190,0.000032,0.000028,0.000066,0.000217,0.000424,0.000189,0.000026
170,0.000000,0.000073,0.000101,0.006171,0.935670,0.005173,0.000002,0.000195,0.000035,0.000036,0.000080,0.000243,0.000464,0.000188,0.000028
171,0.000000,0.000066,0.000123,0.004787,0.935251,0.006141,0.000002,0.000246,0.000035,0.000035,0.000095,0.000295,0.000407,0.000190,0.000030
172,0.000000,0.000070,0.000086,0.005974,0.938945,0.005439,0.000002,0.000189,0.000034,0.000032,0.000076,0.000253,0.000438,0.000195,0.000026
173,0.000000,0.000075,0.000089,0.006234,0.936059,0.005851,0.000002,0.000186,0.000036,0.000033,0.000069,0.000248,0.000470,0.000190,0.000024
174,0.000000,0.000045,0.000147,0.004537,0.936017,0.006087,0.000002,0.000255,0.000033,0.000034,0.000108,0.000305,0.000380,0.000168,0.000026
175,0.000000,0.000058,0.000125,0.005196,0.931575,0.006497,0.000002,0.000213,0.000033,0.000034,0.000080,0.000272,0.000413,0.000191,0.000027
176,0.000000,0.000063,0.000122,0.005034,0.935848,0.006045,0.000002,0.000214,0.000035,0.000035,0.000096,0.000293,0.000418,0.000198,0.000028
