frame,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14
166,0.751648,0.003792,0.429006,0.000007,0.000029,0.000116,0.000041,0.001360,0.000695,0.023671,0.988834,0.000476,0.000045,0.002282,0.001306
167,0.990277,0.006078,0.004224,0.000000,0.000009,0.000137,0.000012,0.002354,0.000380,0.001613,0.875729,0.000163,0.000021,0.002463,0.001071
168,0.884391,0.000049,0.250866,0.000650,0.003068,0.000819,0.028773,0.002084,0.005506,0.965749,0.010878,0.001662,0.001206,0.000933,0.000286
169,0.990876,0.000005,0.013065,0.000101,0.000436,0.000158,0.002624,0.003442,0.003863,0.019688,0.296014,0.001179,0.001823,0.000469,0.000172
170,0.172750,0.000096,0.927827,0.001295,0.000072,0.000070,0.000349,0.000181,0.000545,0.024075,0.995592,0.000890,0.000045,0.000557,0.000622
171,0.947635,0.000664,0.117432,0.000195,0.000429,0.000468,0.001017,0.002084,0.001278,0.056895,0.909214,0.001211,0.000230,0.001026,0.000380
172,0.202009,0.006460,0.752982,0.000035,0.000184,0.000532,0.000262,0.006203,0.002609,0.050226,0.829960,0.001049,0.000210,0.002317,0.001234
173,0.182149,0.017307,0.686689,0.000011,0.000078,0.000212,0.000087,0.003156,0.001062,0.009730,0.908782,0.000560,0.000081,0.000952,0.001224
174,0.560943,0.000031,0.692898,0.000010,0.000033,0.000083,0.000128,0.016968,0.001522,0.008602,0.691791,0.000479,0.000058,0.000473,0.000937
175,0.238818,0.000010,0.901622,0.000002,0.000011,0.000035,0.000060,0.007694,0.000701,0.000571,0.849183,0.000286,0.000018,0.000079,0.000475
